Dataset.x,language.id,language.name,glottocode,latitude,longitude,family,concept,form_id,value,form,Language_broad,n,Dataset.y,AutotypMatch,R_type,Comments,PhoibleMatch,Trill
hantganbangime,hantganbangime-Bambara,Bambara,bamb1269,14.53,-4.1,Mande,SMOOTH,hantganbangime-Bambara-241_smooth-1,nùgú,nùgú,Bambara,1,CLICS,bam,NA,NA,bam,NA
hantganbangime,hantganbangime-Bangime,Bangime,bang1363,14.8,-3.76,Bangime,SMOOTH,hantganbangime-Bangime-241_smooth-1,mérú mérù,mérú_mérù,Bangime,1,CLICS,dba,no trill,NA,NA,NA
hantganbangime,hantganbangime-Bankan_Tey,Bankan_Tey,bank1259,15.07,-2.91,Dogon,SMOOTH,hantganbangime-Bankan_Tey-241_smooth-1,órù-m,órù-m,Bankan_Tey,1,CLICS,dbw,NA,NA,NA,NA
hantganbangime,hantganbangime-Ben_Tey,Ben_Tey,bent1238,14.85,-2.95,Dogon,SMOOTH,hantganbangime-Ben_Tey-241_smooth-1,órù-m,órù-m,Ben_Tey,1,CLICS,dbt,NA,NA,NA,NA
hantganbangime,hantganbangime-Bunoge,Bunoge,buno1241,14.65,-3.79,Dogon,SMOOTH,hantganbangime-Bunoge-241_smooth-1,bòràllà-gà,bòràllà-gà,Bunoge,1,CLICS,dgb,no trill,"Heath, Jeffrey (2017), A grammar of Bunoge (Dogon, Mali),",NA,NA
hantganbangime,hantganbangime-Fulfulde,Fulfulde,maas1239,14.8,-3.84,Atlantic,SMOOTH,hantganbangime-Fulfulde-241_smooth-1,haasaa-de,haasaa-de,Fulfulde,1,CLICS,ffm,NA,NA,ffm,NA
hantganbangime,hantganbangime-Jamsay,Jamsay,jams1239,14.64,-3.1,Dogon,SMOOTH,hantganbangime-Jamsay-241_smooth-1,ònùrⁿú,ònùrⁿú,Jamsay,1,CLICS,djm,NA,NA,djm,NA
hantganbangime,hantganbangime-Jenaama,Jenaama,jena1242,14.79,-3.78,Mande,SMOOTH,hantganbangime-Jenaama-241_smooth-1,dáátà-nà,dáátà-nà,Jenaama,1,CLICS,bze,NA,NA,NA,NA
hantganbangime,hantganbangime-Mombo,Mombo,momb1254,14.51,-3.91,Dogon,SMOOTH,hantganbangime-Mombo-241_smooth-1,ɔ́nɔ́nɔ́,ɔ́nɔ́nɔ́,Mombo,1,CLICS,dmb,NA,NA,NA,NA
hantganbangime,hantganbangime-Najamba,Najamba,bond1248,14.9,-3.42,Dogon,SMOOTH,hantganbangime-Najamba-241_smooth-1,ónànà ónànɛ̀:,ónànà_ónànɛ̀:,Najamba,1,CLICS,dbu,NA,NA,NA,NA
hantganbangime,hantganbangime-Nanga,Nanga,nang1261,14.72,-3.02,Dogon,SMOOTH,hantganbangime-Nanga-241_smooth-1,órî,órî,Nanga,1,CLICS,nzz,NA,NA,NA,NA
hantganbangime,hantganbangime-Songhai_Senni,Songhai_Senni,humb1243,15.28,-1.7,Songhay,SMOOTH,hantganbangime-Songhai_Senni-241_smooth-1,yútúlú,yútúlú,Songhai_Senni,1,CLICS,hmb,NA,NA,NA,NA
hantganbangime,hantganbangime-Tebul_Ure,Tebul_Ure,tebu1239,14.69,-3.11,Dogon,SMOOTH,hantganbangime-Tebul_Ure-241_smooth-1,ɔ́rⁿɔ́nɛ̀:,ɔ́rⁿɔ́nɛ̀:,Tebul_Ure,1,CLICS,dtu,trill,"Blench, Dendo, & Douyon, 2005 (ms). Tebul Ure, a language of the Dogon group in Northern Mali and its affinities",NA,NA
hantganbangime,hantganbangime-Tiranige_Diga,Tiranige_Diga,tira1258,14.8,-3.72,Dogon,SMOOTH,hantganbangime-Tiranige_Diga-241_smooth-1,búrádá,búrádá,Tiranige_Diga,1,CLICS,tde,NA,NA,NA,NA
hantganbangime,hantganbangime-Togo_Kan,Togo_Kan,togo1254,14.16,-3.38,Dogon,SMOOTH,hantganbangime-Togo_Kan-241_smooth-1,ɔ̀rⁿɔ́nɔ́nɔ́,ɔ̀rⁿɔ́nɔ́nɔ́,Togo_Kan,1,CLICS,dtm,no trill,wiki,NA,NA
hantganbangime,hantganbangime-Tommo_So,Tommo_So,tomm1242,14.67,-3.51,Dogon,SMOOTH,hantganbangime-Tommo_So-241_smooth-1,ɔ̀rɔ̌y,ɔ̀rɔ̌y,Tommo_So,1,CLICS,dto,no trill,wiki,NA,NA
hantganbangime,hantganbangime-Yanda_Dom,Yanda_Dom,yand1257,14.63,-3.15,Dogon,SMOOTH,hantganbangime-Yanda_Dom-241_smooth-1,ɔ̀rⁿɔ̀ndú,ɔ̀rⁿɔ̀ndú,Yanda_Dom,1,CLICS,dym,NA,NA,NA,NA
hantganbangime,hantganbangime-Bangime,Bangime,bang1363,14.8,-3.76,Bangime,ROUGH,hantganbangime-Bangime-212_rough-1,sɔ̀ɡɔ́y-bɛ̀,sɔ̀ɡɔ́y-bɛ̀,Bangime,1,CLICS,dba,no trill,NA,NA,NA
hantganbangime,hantganbangime-Bankan_Tey,Bankan_Tey,bank1259,15.07,-2.91,Dogon,ROUGH,hantganbangime-Bankan_Tey-212_rough-1,kà:sú,kà:sú,Bankan_Tey,1,CLICS,dbw,NA,NA,NA,NA
hantganbangime,hantganbangime-Ben_Tey,Ben_Tey,bent1238,14.85,-2.95,Dogon,ROUGH,hantganbangime-Ben_Tey-212_rough-1,kúnjù-m,kúnjù-m,Ben_Tey,1,CLICS,dbt,NA,NA,NA,NA
hantganbangime,hantganbangime-Fulfulde,Fulfulde,maas1239,14.8,-3.84,Atlantic,ROUGH,hantganbangime-Fulfulde-212_rough-1,ɲaadee-de,ɲaadee-de,Fulfulde,1,CLICS,ffm,NA,NA,ffm,NA
hantganbangime,hantganbangime-Jamsay,Jamsay,jams1239,14.64,-3.1,Dogon,ROUGH,hantganbangime-Jamsay-212_rough-1,kùɲú,kùɲú,Jamsay,1,CLICS,djm,NA,NA,djm,NA
hantganbangime,hantganbangime-Mombo,Mombo,momb1254,14.51,-3.91,Dogon,ROUGH,hantganbangime-Mombo-212_rough-1,yágárá,yágárá,Mombo,1,CLICS,dmb,NA,NA,NA,NA
