LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
85,gbp,Gbeya,"Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa","Gbeya, Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",,,,,Adamawa-Ubangi,,Adamawa-Ubangi,15,5,African Savannah,Africa
165,lug,Luganda,Luganda,"Luganda, Luganda",,,Bantu (narrow),Bantoid,Benue-Congo,,Benue-Congo,32.17,0.5,S Africa,Africa
123,"kau, knc",Kanuri,Kanuri,"Kanuri, Kanuri",,,,,Saharan,,Saharan,13,12,African Savannah,Africa
81,fvr,Fur,"Fur , For","Fur, Fur , For",,,,,Fur,,Fur,25,13.5,African Savannah,Africa
111,ikx,Ik,Ik,"Ik, Ik",,,,,Kuliak,,Kuliak,34.17,3.75,S Africa,Africa
207,nrb,Nera,"Nara , Nera","Nera, Nara , Nera",,,,,Nera,,Nera,37.58,15.08,Greater Abyssinia,Africa
69,kzh,Nubian,"Nubian, Dongolese","Nubian, Nubian, Dongolese",,,,,Nubian,,Nubian,30.5,19,N Africa,Africa
159,laj,Lango,Lango,"Lango, Lango",,Southern Lwo,Lwo,Western Nilotic,Nilotic,,Nilotic,33,2.17,S Africa,Africa
167,mas,Maa,"Maa, Maasai","Maa, Maa, Maasai",,,Lotuko-Maa,Eastern Nilotic,Nilotic,,Nilotic,36,-3,S Africa,Africa
299,niq,Nandi,"Nandi, Naandi, Cemual","Nandi, Nandi, Naandi, Cemual",,,,Southern Nilotic,Nilotic,,Nilotic,35,1,S Africa,Africa
91,guk,Gumuz,Gumuz,"Gumuz, Gumuz",,,,,Gumuz,,Gumuz,35.83,11.5,Greater Abyssinia,Africa
421,yor,Yoruba,Yoruba,"Yoruba, Yoruba",,,,Yoruboid,Benue-Congo,,Benue-Congo,4.33,8,African Savannah,Africa
120,kab,Kabyle,Kabyle,"Kabyle, Kabyle",Berber,,,,Berber,,Berber,5,36.5,N Africa,Africa
98,hau,Hausa,Hausa,"Hausa, Hausa",Hausa group,,West - A (West Chadic),West Chadic,Chadic,,Chadic,18,12,African Savannah,Africa
121,kna,Kanakuru,Kanakuru,"Kanakuru, Kanakuru",Bole-Angas group,,West - A (West Chadic),West Chadic,Chadic,,Chadic,12,10,African Savannah,Africa
373,ttr,Tera,Tera,"Tera, Tera",,,,Biu-Mandara (Central Chadic),Chadic,,Chadic,11.83,11,African Savannah,Africa
