ID,Name,Parameter,Language,Frequency,Confidence,References
tls-Keniunn-1247_smooth-1,denderi,SMOOTH,Keni.unn,,,
tls-Kiboshounn-1247_smooth-1,denderi,SMOOTH,Kibosho.unn,,,
suntb-MileYi-882_smooth-2,di33,SMOOTH,Yi (Mile),,,
lexirumah-hata1243-smooth-2,dia,SMOOTH,Hatam,,,
ids-512-15-770-2,dirkse,SMOOTH,"Dargwa (Tsudakhar dialect, Tanty subdialect)",,,
ids-515-15-770-1,dirkse,SMOOTH,Dargwa (Usisha dialect),,,
marrisonnaga-Nruanghmei-691_smooth-1,diumei,SMOOTH,Nruanghmei,,,
ids-525-15-770-1,diurchussa,SMOOTH,Lak (Balkhar dialect),,,
ids-415-15-770-1,djan1djoi3,SMOOTH,Sui,,,
northeuralex-lbe-493_smooth-1,djurtsusa,SMOOTH,Lak,,,
lexirumah-wers1238-marit-smooth-1,d@lok,SMOOTH,"Wersing, Maritaing",,,
ids-247-15-770-1,doua,SMOOTH,Embera,,,
wold-WhiteHmong-1039_smooth-1,du,SMOOTH,White Hmong,,,
lexirumah-lamm1241-westp-smooth-1,duba,SMOOTH,Tubbe,,,
robinsonap-westernpantar-268_smooth-1,duba,SMOOTH,Western Pantar,,,
lexirumah-adan1251-otvai-smooth-1,dul,SMOOTH,"Adang, Otvai",,,
lexirumah-dein1238-smooth-1,dul,SMOOTH,Deing,,,
lexirumah-sarr1247-smooth-1,dul,SMOOTH,Sar,,,
lexirumah-teiw1235-adiab-smooth-1,dul,SMOOTH,"Teiwa, Adiabang",,,
lexirumah-baka1276-smooth-1,dula,SMOOTH,"Blagar, Bakalang",,,
lexirumah-blag1240-bama-smooth-1,dula,SMOOTH,"Blagar, Bama",,,
lexirumah-blag1240-kulij-smooth-1,dula,SMOOTH,"Blagar, Kulijahi",,,
lexirumah-blag1240-manat-smooth-1,dula,SMOOTH,"Blagar, Manatang",,,
lexirumah-blag1240-nule-smooth-1,dula,SMOOTH,"Blagar, Nule",,,
lexirumah-blag1240-tuntu-smooth-1,dula,SMOOTH,"Blagar, Tuntuli",,,
lexirumah-blag1240-warsa-smooth-1,dula,SMOOTH,"Blagar, Warsalelang",,,
lexirumah-kira1248-smooth-1,dula,SMOOTH,Kiraman,,,
lexirumah-kuii1253-smooth-1,dula,SMOOTH,"Kui, Labaing",,,
lexirumah-kula1280-lanto-smooth-1,dula,SMOOTH,"Kula, Lantoka",,,
lexirumah-p-alor1249-smooth-1,dula,SMOOTH,proto-AP,,,
lexirumah-rett1240-smooth-1,dula,SMOOTH,"Reta, Pura",,,
lexirumah-rett1240-hula-smooth-1,dula,SMOOTH,"Reta, Hula",,,
robinsonap-blagar-268_smooth-1,dula,SMOOTH,Blagar,,,
robinsonap-kui-268_smooth-1,dula,SMOOTH,Kui,,,
robinsonap-protoalorpantar-268_smooth-1,dulslippery,SMOOTH,Alor-Pantar,,,
lexirumah-adan1251-lawah-smooth-1,dulu,SMOOTH,"Adang, Lawahing",,,
lexirumah-kabo1247-smooth-1,dulu,SMOOTH,"Kabola, Monbang",,,
robinsonap-adang-268_smooth-1,dulu,SMOOTH,Adang,,,
lexirumah-kula1280-lanto-smooth-2,dulua,SMOOTH,"Kula, Lantoka",,,
ids-318-15-770-1,duriswalakur,SMOOTH,Uncunwee,,,
robinsonap-klon-268_smooth-1,duul,SMOOTH,Klon,,,
ids-166-15-770-1,duz,SMOOTH,Azerbaijani (Terekeme dialect),,,
ids-71-15-770-2,duz,SMOOTH,Azerbaijani,,,
northeuralex-kmr-493_smooth-1,duz,SMOOTH,Northern Kurdish,,,
ids-66-15-770-1,duzdy,SMOOTH,Rutul,,,
ids-528-15-770-2,duzud,SMOOTH,Rutul (Ikhrek dialect),,,
ids-242-15-770-1,dyibakaari,SMOOTH,Barí,,,
northeuralex-tur-493_smooth-1,dyz,SMOOTH,Turkish,,,
suntb-MotuoTsangla-882_smooth-1,dzampo,SMOOTH,Tsangla (Motuo),,,
wold-OldHighGerman-1039_smooth-1,ebani,SMOOTH,Old High German,,,
ids-193-15-770-3,eben,SMOOTH,Middle High German ,,,
ids-194-15-770-2,eben,SMOOTH,German,,,
lexirumah-mani1235-smooth-2,edeskwesi,SMOOTH,Sougb,,,
