ID,Name,Parameter,Language,Frequency,Confidence,References
ids-811-15-760-1,hat55ri33mit33,ROUGH,Paliu,,,
ids-405-15-760-2,hau3,ROUGH,Dehong,,,
lexirumah-seba1248-rough-1,heg@ri,ROUGH,"Hawu, Seba",,,
ids-241-15-760-1,heo,ROUGH,Tuamotuan,,,
ids-235-15-760-1,hoolua,ROUGH,Hawaiian,,,
ids-192-15-760-7,hrao,ROUGH,Old High German,,,
ids-201-15-760-1,hrapav,ROUGH,Serbo-Croatian,,,
ids-188-15-760-3,hreof,ROUGH,Old English,,,
ids-185-15-760-2,hrjufr,ROUGH,Old Norse,,,
ids-250-15-760-1,huluwaka,ROUGH,Yuwana,,,
ids-251-15-760-1,igaipa,ROUGH,Yaruro,,,
ids-247-15-760-1,igia,ROUGH,Embera,,,
ids-248-15-760-1,ikhia,ROUGH,Epena,,,
ids-519-15-760-1,iliiaksyz,ROUGH,Kumyk (Dorgeli dialect),,,
ids-522-15-760-1,iliiaksyz,ROUGH,Kumyk (Karabudakhkent dialect),,,
ids-225-15-760-1,inaesx,ROUGH,Seri,,,
ids-225-15-760-2,ipakalk,ROUGH,Seri,,,
ids-72-15-760-1,ishgynsyz,ROUGH,Kumyk,,,
lexirumah-kelo1247-hopte-rough-1,i@tak,ROUGH,"Klon, Hopter",,,
ids-401-15-760-1,jap2,ROUGH,Central Thai,,,
ids-402-15-760-1,jap8,ROUGH,Southern Tai (Songkhla variety),,,
ids-834-15-760-1,japa,ROUGH,Chong,,,
ids-832-15-760-1,japb,ROUGH,Kasong,,,
ids-833-15-760-1,japc,ROUGH,Samre,,,
lexirumah-lamb1273-rough-1,jareta,ROUGH,Lamboya,,,
ids-829-15-760-1,jroc,ROUGH,Nyakur,,,
lexirumah-buso1238-rough-1,kabasara,ROUGH,Busoa,,,
ids-819-15-760-2,kae43kae33,ROUGH,LiHa,,,
hantganbangime-Togo_Kan-212_rough-1,kagaju,ROUGH,Togo_Kan,,,
ids-50-15-760-2,kagalia,ROUGH,Tindi,,,
ids-51-15-760-1,kagub,ROUGH,Chamalal,,,
ids-405-15-760-1,kai2,ROUGH,Dehong,,,
ids-414-15-760-2,kai2sa2,ROUGH,Zhuang-Longzhou,,,
ids-67-15-760-2,kaki,ROUGH,Tabasaran (Northern dialect Khanag subdialect),,,
ids-235-15-760-4,kala,ROUGH,Hawaiian,,,
lexirumah-alor1247-dulol-rough-1,kalaki,ROUGH,"Alorese, Dulolong",,,
ids-292-15-760-1,kalala,ROUGH,Wayampi,,,
lexirumah-koto1251-rough-1,kamaekifa,ROUGH,Kotos Amarasi,,,
ids-37-15-760-1,kantii,ROUGH,Botlikh,,,
ids-294-15-760-1,kaphay,ROUGH,Kaingáng,,,
ids-267-15-760-1,kapicuka,ROUGH,Waurá,,,
