color,contribution_pk,count_concepts,description,family_glottocode,family_name,glottocode,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
#806C33,1,950,NA,NA,Uralic,moks1248,northeuralex-mdf,{},54.1855,42.6728,Eurasia,NA,Moksha,1639
#803333,15,309,NA,NA,Austronesian,moli1247,tryonsolomon-moli,{},NA,NA,Papunesia,NA,Moli,2961
#806933,30,85,NA,NA,Molof,molo1262,transnewguineaorg-molof,{},-3.41946,140.557,Papunesia,NA,Molof,2458
#CC5151,30,51,NA,NA,Nuclear Trans New Guinea,moma1243,transnewguineaorg-momare,{},-6.3409,147.79,Papunesia,NA,Momare,2459
#519ECC,8,292,NA,NA,Dogon,momb1254,hantganbangime-Mombo,{},14.376155,-3.664799,Africa,NA,Mombo,681
#9A51CC,30,42,NA,NA,Mombum-Koneraw,nucl1452,transnewguineaorg-mombum,{},-8.27141,138.773,Papunesia,NA,Mombum,2460
#51A4CC,30,33,NA,NA,Somahai,momu1241,transnewguineaorg-momuna,{},-5.04431,139.26,Papunesia,NA,Momuna,2461
#CC5151,30,40,NA,NA,Nuclear Trans New Guinea,moni1261,transnewguineaorg-moni,{},-3.72962,136.886,Papunesia,NA,Moni,2462
#CC5151,30,67,NA,NA,Nuclear Trans New Guinea,moni1261,transnewguineaorg-moni-kemandoga,{},-3.72962,136.886,Papunesia,NA,Moni (Kemandoga Dialect),2463
#803333,15,310,NA,NA,Austronesian,mono1273,tryonsolomon-mono,{},-7.05102,155.76,Papunesia,NA,Mono,2962
#338080,12,303,NA,NA,Sino-Tibetan,kala1376,abrahammonpa-MonpaBalemu,{},27.073067000000002,92.142965,Eurasia,NA,Monpa Balemu,12
#338080,12,302,NA,NA,Sino-Tibetan,dakp1242,abrahammonpa-MonpaChangprong,{},27.3762,91.8245,Eurasia,NA,Monpa Changprong,13
#338080,12,301,NA,NA,Sino-Tibetan,tsha1245,abrahammonpa-MonpaDirang,{},27.3694,91.7741,Eurasia,NA,Monpa Dirang,14
#338080,12,303,NA,NA,Sino-Tibetan,tsha1245,abrahammonpa-MonpaDirangDum,{},27.3694,91.7741,Eurasia,NA,Monpa Dirang Dum,15
#338080,12,303,NA,NA,Sino-Tibetan,kala1376,abrahammonpa-MonpaKalaktang,{},27.073067000000002,92.142965,Eurasia,NA,Monpa Kalaktang,16
#338080,12,303,NA,NA,Sino-Tibetan,kala1376,abrahammonpa-MonpaNamsu,{},27.073067000000002,92.142965,Eurasia,NA,Monpa Namsu,17
#338080,12,303,NA,NA,Sino-Tibetan,tsha1245,abrahammonpa-MonpaSangti,{},27.3694,91.7741,Eurasia,NA,Monpa Sangti,18
#338080,12,303,NA,NA,Sino-Tibetan,dakp1242,abrahammonpa-MonpaTawangMonastery,{},27.3762,91.8245,Eurasia,NA,Monpa Tawang Monastery,19
#338080,12,303,NA,NA,Sino-Tibetan,tsha1245,abrahammonpa-MonpaTembang,{},27.3694,91.7741,Eurasia,NA,Monpa Tembang,20
#338080,12,303,NA,NA,Sino-Tibetan,kala1376,abrahammonpa-MonpaTomko,{},27.073067000000002,92.142965,Eurasia,NA,Monpa Tomko,21
#338080,12,303,NA,NA,Sino-Tibetan,dakp1242,abrahammonpa-MonpaZimithang,{},27.3762,91.8245,Eurasia,NA,Monpa Zimithang,22
#51CCAA,16,242,NA,NA,Mor (Bomberai Peninsula),morb1239,lexirumah-morb1239,{},-2.85747,132.845,Papunesia,NA,Mor,1400
#51CCAA,30,40,NA,NA,Mor (Bomberai Peninsula),morb1239,transnewguineaorg-mor,{},-2.85747,132.845,Papunesia,NA,Mor,2464
#CC51C5,30,37,NA,NA,West Bird's Head,mora1239,transnewguineaorg-moraid,{},-1.04083,131.965,Papunesia,NA,Moraid,2466
#803333,30,40,NA,NA,Austronesian,morm1235,transnewguineaorg-mor-austronesian,{},-2.87055,135.95,Papunesia,NA,Mor (Austronesian),2465
#6151CC,30,55,NA,NA,Mailuan,mora1273,transnewguineaorg-morawa,{},-10.1321,148.671,Papunesia,NA,Morawa,2467
#CC5151,26,295,NA,NA,Nuclear Trans New Guinea,more1258,zgraggenmadang-moresada,{},-4.57497,144.988,Papunesia,NA,moresada,3106
#CC5151,30,287,NA,NA,Nuclear Trans New Guinea,more1258,transnewguineaorg-moresada,{},-4.57497,144.988,Papunesia,NA,Moresada,2468
#763380,30,98,NA,NA,Kiwaian,mori1271,transnewguineaorg-morigi,{},-7.62961,143.88,Papunesia,NA,Morigi,2469
#803333,16,179,NA,NA,Austronesian,kaba1285,lexirumah-kaba1285,{},NA,NA,Papunesia,NA,Moronene,1262
#803333,16,179,NA,NA,Austronesian,kaba1285,lexirumah-kaba1285-kaba,{},NA,NA,Papunesia,NA,"Moronene, Kabaena",1263
#803333,16,179,NA,NA,Austronesian,rumb1240,lexirumah-rumb1240,{},NA,NA,Papunesia,NA,"Moronene, Rumbia",1445
#CC6E51,30,40,NA,NA,Marori,moro1289,transnewguineaorg-morori,{},-8.5692,140.688,Papunesia,NA,Morori,2470
#5165CC,17,7,NA,NA,Mosetén-Chimané,mose1249,diacl-57060,{},-14.64448,-67.83756,South America,NA,Mosetén,572
#5165CC,4,1034,NA,NA,Mosetén-Chimané,mose1249,ids-271,{},-14.64448,-67.83756,South America,NA,Mosetén,885
#CC5151,26,298,NA,NA,Nuclear Trans New Guinea,mosi1248,zgraggenmadang-mosimo,{},-4.95226,145.605,Papunesia,NA,mosimo,3107
#CC5151,30,290,NA,NA,Nuclear Trans New Guinea,mosi1248,transnewguineaorg-mosimo,{},-4.95226,145.605,Papunesia,NA,Mosimo,2471
#BD51CC,16,321,NA,NA,East Bird's Head,mosk1236,lexirumah-mosk1236,{},-1.62201,133.145,Papunesia,NA,Moskona,1401
#BD51CC,30,38,NA,NA,East Bird's Head,mosk1236,transnewguineaorg-moskona,{},-1.62201,133.145,Papunesia,NA,Moskona,2472
#BD51CC,30,39,NA,NA,East Bird's Head,mosk1236,transnewguineaorg-moskona-merdey,{},-1.62201,133.145,Papunesia,NA,Moskona (Merdey Dialect),2473
#803333,17,79,NA,NA,Austronesian,motu1246,diacl-19400,{},-9.67492,147.424,Papunesia,NA,Motu,311
#803333,30,240,NA,NA,Austronesian,motu1246,transnewguineaorg-motu,{},-9.67492,147.424,Papunesia,NA,Motu,2474
#CC6851,30,144,NA,NA,Koiarian,moun1252,transnewguineaorg-mountain-koiari,{},-9.06973,147.384,Papunesia,NA,Mountain Koiari,2475
#803365,17,7,NA,NA,Movima,movi1243,diacl-57075,{},-13.8115,-65.6348,South America,NA,Movima,573
#803365,4,1035,NA,NA,Movima,movi1243,ids-285,{},-13.8115,-65.6348,South America,NA,Movima,900
#598033,25,585,NA,NA,Atlantic-Congo,mpot1240,tls-Mpoto,{},-11.13767,34.71269,Africa,NA,Mpoto,1838
#CC8B51,16,255,NA,NA,Mpur,mpur1239,lexirumah-mpur1239,{},-0.7489,133.166,Papunesia,NA,Mpur,1402
#CC8B51,30,40,NA,NA,Mpur,mpur1239,transnewguineaorg-mpur,{},-0.7489,133.166,Papunesia,NA,Mpur,2476
#CC8B51,30,39,NA,NA,Mpur,mpur1239,transnewguineaorg-mpur-arfu,{},-0.7489,133.166,Papunesia,NA,Mpur (Arfu Dialect),2477
#CC8B51,30,39,NA,NA,Mpur,mpur1239,transnewguineaorg-mpur-kebar,{},-0.7489,133.166,Papunesia,NA,Mpur (Kebar Dialect),2478
#338063,30,100,NA,NA,Anim,muba1238,transnewguineaorg-mubami,{},-7.5501,142.998,Papunesia,NA,Mubami,2479
#8FCC51,5,300,NA,NA,Pama-Nyungan,mudb1240,bowernpny-Mudburra,{},-16.7694,132.329,Australia,NA,Mudburra,169
#803A33,16,206,NA,NA,Konda-Yahadian,yaha1248,lexirumah-yaha1248,{},-1.94317,132.096,Papunesia,NA,Mugim,1506
#807433,10,340,NA,NA,Boran,muin1242,hubercolumbian-Muinane,{},-0.8652,-72.4249,South America,NA,Muinane,732
#A6CC51,4,771,NA,NA,Chibchan,chib1270,ids-243,{},6.24999,-74.1666,South America,NA,Muisca,856
#804833,30,127,NA,NA,Kwalean,mula1254,transnewguineaorg-mulaha,{},-9.68333,147.45,Papunesia,NA,Mulaha,2480
#51CC70,4,1072,NA,NA,Tai-Kadai,mula1253,ids-417,{},24.8151,108.928,Eurasia,NA,Mulam,967
#803333,16,196,NA,NA,Austronesian,mula1255,lexirumah-lama1277-mulan,{},NA,NA,NA,NA,Mulan Lamaholot,1360
#CC5151,26,285,NA,NA,Nuclear Trans New Guinea,mumm1238,zgraggenmadang-mum,{},-4.83462,145.059,Papunesia,NA,mum,3108
#CC5151,30,287,NA,NA,Nuclear Trans New Guinea,mumm1238,transnewguineaorg-mum,{},-4.83462,145.059,Papunesia,NA,Mum,2481
#803333,16,213,NA,NA,Austronesian,stan1308,lexirumah-stan1308,{},NA,NA,Papunesia,NA,Muna,1466
#803333,16,140,NA,NA,Austronesian,guuu1237,lexirumah-guuu1237-bombo,{},NA,NA,Papunesia,NA,"Muna, Bombonawulu",1243
#803333,16,196,NA,NA,Austronesian,kada1289,lexirumah-kada1289,{},NA,NA,Papunesia,NA,"Muna, Kadatua",1267
#803333,16,154,NA,NA,Austronesian,kato1242,lexirumah-kato1242,{},NA,NA,Papunesia,NA,"Muna, Katobengke",1287
