Language,Dataset,AutotypMatch,Trill,Comments,PhoibleMatch
Nung-Fengshan,IDS,zgn,no,no R-like phoneme; based on Nung-Ninbei,zgn
Nung-Lazhai,IDS,zgn,no,no R-like phoneme; based on Nung-Ninbei,zgn
Nung-Ninbei,IDS,nut,no,no R-like phoneme,nut
Zhuang-Longzhou,IDS,zzj,NA,cannot be determined,zzj
Sui,IDS,swi,no,no R-like phoneme,swi
Lakkia,IDS,lbc,no,no R-like phoneme,lbc
Hlai (Baoting variety),IDS,lic,NA,cannot be determined; Peter Kristian Norquest's phonological reconstruction suggests both tap or trill,lic
Langja Buyang,IDS,yzg,NA,cannot be determined; Peter Kristian Norquest's phonological reconstruction suggests both tap or trill,yzg
Ecun Buyang,IDS,yln,NA,cannot be determined; Peter Kristian Norquest's phonological reconstruction suggests both tap or trill,yln
Sanchong Kelao,IDS,giq,NA,cannot be determined; Peter Kristian Norquest's phonological reconstruction suggests both tap or trill,giq
Qau Kelao,IDS,gqu,no,no R-like phoneme,gqu
Bengali,IDS,ben,NA,cannot be determined; Phoible lists different phonemes,ben
Hindi,IDS,hin,NA,cannot be determined; Phoible lists different phonemes,hin
Mahasu Pahari (Kotghari dialect),IDS,bfz,NA,NA,bfz
Marathi,IDS,mar,no,tap/flap,mar
Nepali,IDS,nep,yes,"also wikipedia says ""r is always a trill""",nep
Punjabi,IDS,pnb,no,flap based on wikipedia,pan
Tamil,IDS,tam,no,flap or approximant,tam
Telugu,IDS,tel,no,flap based on mixture of wikipedia and phoible (conflicting information),tel
Tibetan,IDS,bod,yes,trill ~ approximant allophony (see wikipedia),bod
Kme-2 (Kemie variety),IDS,mml,NA,NA,mml
Bulang,IDS,blr,yes,NA,blr
Bulang-2,IDS,blr,yes,NA,blr
Bulang-3,IDS,blr,yes,NA,blr
Keme (Kemie variety),IDS,mml,NA,NA,mml
Xu,IDS,huo,NA,NA,huo
Mang'an B. (MNN),IDS,NA,NA,NA,NA
Wa,IDS,wbm,yes,based on Phoible and Wikipedia,wbm
Rumai,IDS,rbb,NA,cannot be determined,rbb
Prai,IDS,pry,NA,NA,pry
Pusing,IDS,bgk,NA,NA,bgk
Paliu,IDS,ply,NA,NA,ply
Mlabri,IDS,mra,yes,based on wikipedia,mra
Cuoi,IDS,NA,NA,NA,NA
Tho Mun (THM),IDS,NA,NA,NA,NA
LiHa,IDS,NA,NA,NA,NA
Phong,IDS,pnx,NA,NA,pnx
TUL,IDS,NA,NA,NA,NA
Tum,IDS,NA,NA,NA,NA
Phu Tho M (PHU),IDS,NA,NA,NA,NA
Kha Poong,IDS,NA,NA,NA,NA
Malieng,IDS,NA,NA,NA,NA
Ahlao Th,IDS,thm,no,flap,thm
Nyakur,IDS,cbn,no,not clear,cbn
Pear,IDS,pcb,NA,NA,pcb
SAN,IDS,NA,NA,NA,NA
Kasong,IDS,syo,NA,NA,syo
Samre,IDS,sxm,no,approximant,sxm
Chong,IDS,cog,yes,trill,cog
KNB (a Pearic variety),IDS,NA,NA,NA,NA
Surin Khmer,IDS,khm,NA,NA,khm
CHNG (a Pearic variety),IDS,NA,NA,NA,NA
Iduh,IDS,tyh,NA,NA,tyh
Mang Ch,IDS,zng,NA,NA,zng
Mang VN,IDS,NA,NA,NA,NA
Tlingit,IDS,tli,no,no R-like phoneme,tli
Proto Polynesian,IDS,NA,NA,NA,NA
Vietnamese,IDS,vie,NA,NA,vie
De'kwana,IDS,mch,NA,NA,mch
Northern Haida,IDS,hdn,NA,NA,hdn
Tsimshian,IDS,tsi,NA,NA,tsi
Bella Coola,IDS,blc,NA,NA,blc
Marquesan,IDS,mrq,NA,NA,mrq
Barí,IDS,mot,NA,NA,mot
Baure,IDS,brg,NA,NA,brg
