Variety,Subgroup,Family,ISO Code,Glottolog ID,AIATSIS Code,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata purliyuru,kata puɭijuɹu,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata rupuny-rupunypa,kata ɹupuɲ-ɹupuɲpa,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata tali,kata tali,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata tanya,kata taɲa,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata tjarntiri,kata caɳtiɹi,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kata yurninypa,kata juɳiɲpa,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kataparni,katapaɳi,bald,"Peile, Fr Antony R.",bald head,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kilin,kilin,clean,"Peile, Fr Antony R.",clean,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kiwarnpa,kiwaɳpa,firm,"Peile, Fr Antony R.",firm,Adj,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kulinypa,kuliɲpa,sharp,"Peile, Fr Antony R.",sharp (taste),nom,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Kukatja,Wati,Pama-Nyungan,kux,kuka1246,C7,814,Kukatja,kurnpu,kuɳpu,tough,"Peile, Fr Antony R.",tough (materials),nom,-20.51538798370036,128.0418320166125,NA,NA,NA,NA
Mbabaram,Paman,Pama-Nyungan,vmb,mbab1239,Y115,661,Mbabaram,dɨm,tɨm,hard,RMW Dixon,hard (e.g. wood),Adj,-17.21059784634545,144.6573104758481,NA,NA,NA,NA
Mbabaram,Paman,Pama-Nyungan,vmb,mbab1239,Y115,661,Mbabaram,(a)nwɛ:rr,(a)nwɛːr,soft,RMW Dixon,soft (e.g. wood),Adj,-17.21059784634545,144.6573104758481,NA,NA,NA,NA
Mbabaram,Paman,Pama-Nyungan,vmb,mbab1239,Y115,661,Mbabaram,arrbay,arpaj,sharp,RMW Dixon,sharp (e.g. axe),Adj,-17.21059784634545,144.6573104758481,NA,NA,NA,NA
Mbabaram,Paman,Pama-Nyungan,vmb,mbab1239,Y115,661,Mbabaram,mulbún,mulpún,blunt,RMW Dixon,blunt,Adj,-17.21059784634545,144.6573104758481,NA,NA,NA,NA
Ng'goi Mwoi,Bandjalangic,Pama-Nyungan,NA,band1339,NA,578,Ng'goi Mwoi,kud-djai,kud-djai,smooth,"Hanlon, W.E",smooth,Adj,-28.163998,152.801352,NA,NA,NA,NA
Ng'goi Mwoi,Bandjalangic,Pama-Nyungan,NA,band1339,NA,578,Ng'goi Mwoi,kun'yeen,kun'jeːn,tough,"Hanlon, W.E",tough,NA,-28.163998,152.801352,NA,NA,NA,NA
Ng'goi Mwoi,Bandjalangic,Pama-Nyungan,NA,band1339,NA,578,Ng'goi Mwoi,woogin-yinah,woːgin-jinah,sharp,"Hanlon, W.E",sharp,Adj,-28.163998,152.801352,NA,NA,NA,NA
Ng'goi Mwoi,Bandjalangic,Pama-Nyungan,NA,band1339,NA,578,Ng'goi Mwoi,kurrabil,kurabil,sharp,"Hanlon, W.E","edge, sharp",Adj,-28.163998,152.801352,NA,NA,NA,NA
Ng'goi Mwoi,Bandjalangic,Pama-Nyungan,NA,band1339,NA,578,Ng'goi Mwoi,murreen,mureːn,blunt,"Hanlon, W.E",blunt,Adj,-28.163998,152.801352,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,yiri,jiɹi,sharp,"Austin, Peter",sharp,Adj,-24.01509472942779,113.7199742530777,*yiri,N/A,sharp,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,kayarra,kajara,hard,"Austin, Peter",hard,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,jarndi-ma,caɳti-ma,limp,"Austin, Peter",to limp,Vi,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,milhamilha,mil̪amil̪a,flat,"Austin, Peter",flat,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pinhirr,pin̪ir,bald,"Austin, Peter",bald,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pirdilya,piʈiʎa,clean,"Austin, Peter",clean,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pirdilya-rni-nma,piʈiʎa-ɳi-nma,clean,"Austin, Peter",to clean,Vtr,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pulara,pulaɹa,soft,"Austin, Peter",soft,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,jurirri,cuɹiri,sharp,"Austin, Peter",sharp,Adj,-24.01509472942779,113.7199742530777,*yuri,N/A,sharp,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,tharndarn,t̪aɳtaɳ,firm,"Austin, Peter",firm (of breasts),Noun,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,diban,tipan,bald,"Dixon, R.M.W",bald head,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,jarndi-n,caɳti-n,limp,"Austin, Peter",to limp,Vi,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,mankarr,mankar,hard,"Austin, Peter",hard,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,murral,mural,hard,"Austin, Peter",hard,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,pirdilya,piʈiʎa,clean,"Austin, Peter",clean,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,pulara,pulaɹa,soft,"Austin, Peter",soft,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,thalha,t̪al̪a,blunt,"Austin, Peter",blunt,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,thinthan,t̪int̪an,blunt,"Austin, Peter",blunt,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Thalanyji,Kanyara-Mantharta,Pama-Nyungan,dhl,dhal1245,W26,318,Thalanyji,yirralya,jiraʎa,sharp,"Austin, Peter",sharp,Adj,-22.51113458754001,114.7073317721085,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,jarndi-ma,caɳti-ma,limp,NA,to limp,Vi,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,jurirri,cuɹiri,sharp,NA,sharp,Adj,-24.01509472942779,113.7199742530777,*yuri,N/A,sharp,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,kayarra,kajara,hard,NA,hard,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,kugarn,kukaɳ,soft,NA,soft,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,milhamilha,mil̪amil̪a,flat,NA,flat,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,milhamilha-rri-ma,mil̪amil̪a-ri-ma,flat,NA,to be flat,vi,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,parlgarra,paɭkara,bald,NA,bald,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pinhirr,pin̪ir,bald,NA,bald,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pirdilya,piʈiʎa,clean,NA,clean,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pirdilya-rni-nma,piʈiʎa-ɳi-nma,clean,NA,to clean,vt,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,pulara,pulaɹa,soft,NA,soft,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,purruwaya,puruwaja,flat,NA,flat,Adj,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,tharndarn,t̪aɳtaɳ,firm,NA,firm (of breasts),n,-24.01509472942779,113.7199742530777,NA,NA,NA,NA
Payungu,Kanyara-Mantharta,Pama-Nyungan,bxj,bayu1240,W23,429,Payungu,yiri,jiɹi,sharp,NA,sharp,Adj,-24.01509472942779,113.7199742530777,*yiri,N/A,sharp,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,jarndi-ru,caɳti-ɹu,limp,"Austin, Peter",to limp,Vi,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,jirri,ciri,sharp,"Austin, Peter",sharp,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,manthal,mant̪al,rough,"Austin, Peter",rough,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,manthalmanthal,mant̪almant̪al,rough,"Austin, Peter",rough,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,mardangu,maʈaŋu,hard,"Austin, Peter",hard,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,mirlbi,miɭpi,flat,"Austin, Peter",flat,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,muurr,muːr,tough,"Austin, Peter",tough,n,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,nyarrara,ɲaraɹa,clean,"Austin, Peter",clean,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,parlgarra,paɭkara,bald,"Austin, Peter",bald,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,pimbi,pimpi,flat,"Austin, Peter",flat,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,pirdilya,piʈiʎa,clean,"Austin, Peter",clean,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,pirdilya-rni-ru,piʈiʎa-ɳi-ɹu,clean,"Austin, Peter",to clean,vt,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,pulara,pulaɹa,soft,"Austin, Peter",soft,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Jiwarli,Kanyara-Mantharta,Pama-Nyungan,djl,djiw1239,W28,881,Jiwarli,waru,waɹu,hard,"Austin, Peter",hard,Adj,-23.40303400448102,115.133961851332,NA,NA,NA,NA
Martuwangka,Wati,Pama-Nyungan,mpj,mart1256,A86*,681,Martu Wangka,karalypa,kaɹaʎpa,blunt,NA,blunt,Adj,-23.10367525559838,124.0861312406055,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,juri,cuɹi,sharp,"Dixon, R.M.W","sharp (e.g. axe, spear, stick)",Adj,-17.11594422180313,145.7736813596025,*yuri,N/A,sharp,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,julu,culu,blunt,"Dixon, R.M.W",blunt,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,mulmbu,mulmpu,blunt,"Dixon, R.M.W",blunt,Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,dara,taɹa,stiff,"Dixon, R.M.W",stiff (e.g. stiff leg or erect penis),Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,mada,mata,soft,"Dixon, R.M.W","soft (e.g. wood, ground, food, grass)",Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
Yidiny,Paman,Pama-Nyungan,yii,yidi1250,Y117,40,Yidiny,wama,wama,soft,"Dixon, R.M.W","soft (e.g. wood, ground, food, grass)",Adj,-17.11594422180313,145.7736813596025,NA,NA,NA,NA
