ID,Name,Parameter,Language,Frequency,Confidence,References,Language_broad,n,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
marrisonnaga-Tangkhul-617_rough-1,khamarao,ROUGH,Tangkhul,NA,NA,NA,Tangkhul,1,CLICS,nmf,NA,NA,nmf
halenepal-Gurung-1677_rough-1,khasroq,ROUGH,Gurung,NA,NA,NA,Gurung,1,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,NA
wold-Sakha-1038_rough1-1,khatilakh,ROUGH,Sakha,NA,NA,NA,Sakha,1,CLICS,sah,NA,NA,sah
ids-406-15-760-1,khau11kh@t24,ROUGH,Jinsha Dai,NA,NA,NA,Jinsha Dai,1,CLICS,tiz,NA,NA,NA
ids-50-15-760-1,khechiub,ROUGH,Tindi,NA,NA,NA,Tindi,1,CLICS,tin,NA,NA,NA
ids-160-15-760-2,khokhilo,ROUGH,Bezhta,NA,NA,NA,Bezhta,3,CLICS,kap,trill,wiki,NA
ids-41-15-760-1,khokhoru,ROUGH,Khwarshi (Khwarshi dialect),NA,NA,NA,Khwarshi,3,CLICS,khv,trill,NA,NA
halenepal-Kaike-1677_rough-1,khokhsorhopa,ROUGH,Kaike,NA,NA,NA,Kaike,1,CLICS,kzq,NA,NA,NA
marrisonnaga-Phom-617_rough-1,khuppukhongpu,ROUGH,Phom,NA,NA,NA,Phom,1,CLICS,nph,no rhotic,wiki,NA
ids-61-15-760-1,khutsief,ROUGH,Aghul,NA,NA,NA,Aghul,2,CLICS,agx,trill,wiki,NA
ids-57-15-760-1,kiarksi,ROUGH,Dargwa,NA,NA,NA,Dargwa,17,CLICS,dar,trill,wiki,NA
ids-63-15-760-2,kiepi,ROUGH,Budukh,NA,NA,NA,Budukh,1,CLICS,bdk,NA,NA,NA
ids-63-15-760-1,kievi,ROUGH,Budukh,NA,NA,NA,Budukh,1,CLICS,bdk,NA,NA,NA
marrisonnaga-Mikir-617_rough-1,kindeng,ROUGH,Mikir,NA,NA,NA,Mikir,1,CLICS,mjw,NA,NA,mjw
ids-70-15-760-1,kobutun,ROUGH,Tsakhur,NA,NA,NA,Tsakhur,2,CLICS,tkr,trill,wiki,NA
lexirumah-west2547-welaun-rough-1,kokar,ROUGH,Welaun,NA,NA,NA,Welaun,1,CLICS,wlh,NA,NA,NA
robinsonap-blagar-235_rough-1,kongkarkongkar,ROUGH,Blagar,NA,NA,NA,Blagar,9,CLICS,beu,trill,"Steinhauer, Hein (2014). ""Blagar"". In Schapper, Antoinette (ed.). The Papuan Languages of Timor, Alor and Pantar: Volume 1: Sketch Grammars. Walter de Gruyter. pp. 147–219",NA
lexirumah-kaer1234-rough-1,kotang,ROUGH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
marrisonnaga-Mao-617_rough-1,kotho,ROUGH,Mao,NA,NA,NA,Mao,1,CLICS,nbi,NA,NA,nbi
lexirumah-seba1248-rough-2,k@ri,ROUGH,"Hawu, Seba",NA,NA,NA,Hawu,1,CLICS,hvn,trill,Walker (1982) A Grammar of Sawu. https://openresearch-repository.anu.edu.au/bitstream/1885/111434/1/01_Walker_A_Grammar_of_Sawu_1982.pdf,NA
lexirumah-naue1237-rough-1,kroki,ROUGH,Naueti,NA,NA,NA,Naueti,1,CLICS,nxa,NA,NA,NA
ids-518-15-760-1,kubud,ROUGH,Kryz,NA,NA,NA,Kryz,1,CLICS,kry,NA,NA,NA
ids-63-15-760-3,kubud,ROUGH,Budukh,NA,NA,NA,Budukh,1,CLICS,bdk,NA,NA,NA
ids-68-15-760-2,kubut,ROUGH,Tabasaran (Southern dialect),NA,NA,NA,Tabasaran,2,CLICS,tab,trill,wiki,NA
