Language,Dataset,AutotypMatch,Action
Tsimshian,IDS,tsi,
Bella Coola,IDS,blc,
Marquesan,IDS,mrq,
Barí,IDS,mot,
Baure,IDS,brg,
Mashco Piro,IDS,cuj,
Pacahuara,IDS,pcp,
Pacaas Novos,IDS,pav,
Karajá,IDS,kpj,
Gamilaraay,Chirila,kld,
Yuwaalaraay,Chirila,kld,
Yuwaaliyaay,Chirila,kld,
Proto-Mantharta,Chirila,NA,
Wik-Ngathan,Chirila,wik,
Nhirrpi,Chirila,hrp,
Yalarnnga,Chirila,ylr,
Pitta-Pitta,Chirila,pit,
Wangkumara,Chirila,xwk,
Wangkayutyuru,Chirila,wnm,
Yorta Yorta,Chirila,xyy,
Diyari,Chirila,dif,
Yabula-Yabula,Chirila,yxy,
Wathawurrung,Chirila,wth,
Buwandik,Chirila,xbg,
Gupapuyngu,Chirila,guf,
Djapu,Chirila,duj,
Ritharrngu,Chirila,rit,
Yan-nhangu,Chirila,jay,
Burarra,Chirila,bvr,
Djinang,Chirila,dji,
Gunggari,Chirila,kgl,
Adnyamathanha,Chirila,adt,
Nhanta,Chirila,nha,
Woiwurrung,Chirila,wyi,
Yugambeh,Chirila,yub,
Nukunu,Chirila,nnv,
Wiradjuri,Chirila,wrh,
pNY (D),Chirila,NA,
Biri,Chirila,bzr,
Proto-Pama-Nyungan,Chirila,NA,
Kaurna,Chirila,zku,
Wulguru,Chirila,qgu,
Ayapathu,Chirila,ayd,
Wardaman,Chirila,wrr,
Widi/Cheangwa,Chirila,NA,
Mary River and Bunya Bunya Country,Chirila,NA,
Bidjara,Chirila,bym,
Birrpayi,Chirila,xbj,
Granite Range,Chirila,NA,
unknown,Chirila,NA,
Kurnu,Chirila,drl,
Wulna,Chirila,wux,
Natal Downs,Chirila,NA,
Duungidjawu,Chirila,wkw,
Yagara,Chirila,yxg,
Iyora,Chirila,none,
Awabakal,Chirila,awk,
Yugarabul,Chirila,NA,
Paakantyi,Chirila,drl,
Warnman,Chirila,wbt,
Bidjara-Gungabula,Chirila,gyy,
Kugu-Nganhcara,Chirila,uwa,
Kukatja,Chirila,ktd,
Mbabaram,Chirila,vmb,
Ng'goi Mwoi,Chirila,NA,
Payungu,Chirila,bxj,
Yidiny,Chirila,yii,
Thalanyji,Chirila,dhl,
Jiwarli,Chirila,djl,
Martu Wangka,Chirila,mpj,
Warlpiri,Chirila,wbp,
Wajuk,Chirila,xwj,
Ngawun,Chirila,nxn,
Mayi-Kulan,Chirila,mnt,
Mayi-Yapi,Chirila,mnt,
Kurtjar,Chirila,gdj,
Aghu-Tharnggala,Chirila,ggr,
Dyirbal,Chirila,dbl,
Warrgamay,Chirila,wgy,
Margany,Chirila,zmc,
Gunya,Chirila,gyy,
Koko-Bera,Chirila,kkp,
Djadjala,Chirila,weg,
Warrnambool,Chirila,gjm,
Barrow Point,Chirila,bpt,
Bardi,Chirila,bcj,
Yawuru,Chirila,ywr,
Nyikina,Chirila,nyh,
Nyulnyul,Chirila,nyv,
Nimanburru,Chirila,nmp,
Ngumbarl,Chirila,?wyb,
Coonambella,Chirila,NA,
Guwamu,Chirila,gwu,
Guugu-Yimidhirr,Chirila,kky,
Tjapwurrung,Chirila,tjw,
Gunditjmara,Chirila,gjm,
Pikwurrung,Chirila,NA,
Atampaya,Chirila,amz,
pNY,Chirila,NA,
Purduna,Chirila,bxn,
Wubuy,Chirila,nuy,
Yaygir,Chirila,yyg,
Upper Clarence River,Chirila,NA,
Bandjalang,Chirila,bdy,
Jingulu,Chirila,jig,
Afrikaans,Google,afr,
Albanian,Google,als,
Amharic,Google,amh,
Arabic,Google,arb,
Armenian,Google,hye,
Azeerbaijani,Google,aze,
Basque,Google,eus,
Belarusian,Google,bel,
Bengali,Google,ben,
Bosnian,Google,bos,
Bulgarian,Google,bul,
Catalan,Google,cat,
Cebuano,Google,ceb,
Chinese (Simplified),Google,cmn,
Chinese (Traditional),Google,cmn,
Corsican,Google,cos,
Croatian,Google,hrv; srp,
Czech,Google,ces,
Danish,Google,dan,
Dutch,Google,nld,
Esperanto,Google,epo,
Estonian,Google,est,
Finnish,Google,fin,
French,Google,fra,
Frisian,Google,fry,
Galician,Google,glg,
Georgian,Google,kat,
German,Google,deu,
Greek,Google,ell,
Gujarati,Google,guj,
Haitian Creole,Google,hat,
Hausa,Google,hau,
Hawaiian,Google,haw,
Hebrew,Google,heb,
Hindi,Google,hin,
Hmong,Google,blu,
Hungarian,Google,hun,
Icelandic,Google,isl,
Igbo,Google,ibo,
Indonesian,Google,ind,
Irish,Google,gle,
Italian,Google,ita,
Japanese,Google,jpn,
Javanese,Google,jav,
Kannada,Google,kan,
Kazakh,Google,kaz,
Khmer,Google,khm,
Korean,Google,kor,
Kurdish,Google,ckb,
Kyrgyz,Google,kir,
Lao,Google,lao,
Latin,Google,lat,
Latvian,Google,lav,
Lithuanian,Google,lit,
Luxembourgish,Google,ltz,
Macedonian,Google,mkd,
Malagasy,Google,mlg,
Malay,Google,mly,
Malayalam,Google,mal,
Maltese,Google,mlt,
Maori,Google,mri,
Marathi,Google,mar,
Mongolian,Google,khk,
Myanmar (Burmese),Google,mya,
Nepali,Google,nep,
Norwegian,Google,nno,
Nyanja (Chichewa),Google,nyj,
Pashto,Google,pst; pbu; pbt,
Persian,Google,pes,
Polish,Google,pol,
Portuguese (Portugal Brazil),Google,por,
Punjabi,Google,pan,
Romanian,Google,ron,
Russian,Google,rus,
Samoan,Google,smo,
Scots Gaelic,Google,gla,
Serbian,Google,hrv; srp,
Shona,Google,sna,
Sindhi,Google,snd,
Sinhala (Sinhalese),Google,sin,
Slovak,Google,slk,
Slovenian,Google,slv,
Somali,Google,som,
Spanish,Google,spa,
Sundanese,Google,sun,
Swahili,Google,swa,
Swedish,Google,swe,
Tagalog (Filipino),Google,tgl,
Tajik,Google,tgk,
Tamil,Google,tam,
Telugu,Google,tel,
Thai,Google,tha,
Turkish,Google,tur,
Ukrainian,Google,ukr,
Urdu,Google,urd,
Uzbek,Google,uzb,
Vietnamese,Google,vie,
Welsh,Google,cym,
Yiddish,Google,ydd,
Yoruba,Google,yor,
Zulu,Google,zul,
Swahili,WOLD,swa,
Iraqw,WOLD,irk,
Ale-Gawwada,WOLD,gwd,
Hausa,WOLD,hau,
Central Kanuri,WOLD,"kau, knc",
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,WOLD,rif,
Seselwa Creole French,WOLD,crs,
Romanian,WOLD,ron,
West Slovakian Romani,WOLD,rmy,
Lower Sorbian,WOLD,dsb,
Old High German (ca. 750-1050),WOLD,goh,
Dutch,WOLD,nld,
English,WOLD,eng,
Kildin Sami,WOLD,sjd,
Bezhta,WOLD,kap,
Archi,WOLD,aqc,
Ket,WOLD,ket,
Sakha,WOLD,NA,
Oroqen,WOLD,NA,
Japanese,WOLD,jpn,
Mandarin Chinese,WOLD,cmn,
Thai,WOLD,tha,
Vietnamese,WOLD,vie,
Chewong,WOLD,NA,
Indonesian,WOLD,ind,
Plateau Malagasy,WOLD,mlg,
Takia,WOLD,tbc,
Hawaiian,WOLD,haw,
Gurinji,WOLD,gue,
Yaqui,WOLD,yaq,
"Tzotzil, Zinacantán",WOLD,tzz,
Kekchí,WOLD,kek,
Mezquital Otomi,WOLD,ote,
Imbabura Highland Quichua,WOLD,que,
Galibi Carib,WOLD,car,
Hupdë,WOLD,jup,
Wichí Lhamtés Güisnay,WOLD,NA,
Mapudungun,WOLD,arn,
Manange,WOLD,nmm,
Hmong Daw,WOLD,mww,
Saramaccan,WOLD,srm,
Abkhaz,CLICS,abk,
Abui,CLICS,abz,
Achagua,CLICS,aca,
Adang,CLICS,adn,
Adonara Lamaholot,CLICS,slp,
Adyghe,CLICS,ady,
Aghul,CLICS,agx,
Agufi,CLICS,faf,exclude
Akhvakh (Northern dialect),CLICS,akv,
Aleut,CLICS,ale,
"Alorese, Baranusa",CLICS,aol,missing
Alor-Pantar,CLICS,NA,exclude
Alu,CLICS,mte,
Andi,CLICS,ani,
Angami Khonoma,CLICS,NA,exclude
Angami Kohima,CLICS,njm,
Anong,CLICS,nun,
Anuta,CLICS,aud,missing
Ao Chungli,CLICS,njo,
Ao Mongsen,CLICS,NA,exclude
Archi,CLICS,aqc,
'Are'are (1),CLICS,alu,
Arosi (1),CLICS,aia,
Asumboa,CLICS,aua,missing
Atsi [Zaiwa],CLICS,atb,
Avar,CLICS,ava,
Avasö,CLICS,baa,
Awa,CLICS,kwi,
"Awyu, South (Syiagha Dialect)",CLICS,aws,missing
Azerbaijani,CLICS,aze,
Bagvalal,CLICS,kva,
Bai (Jianchuan),CLICS,bca,
Bambara,CLICS,bam,
Bangime,CLICS,dba,
Bankan_Tey,CLICS,dbw,
Bará,CLICS,bao,
Barasana,CLICS,bsn,
Bashkir,CLICS,bak,
Batsbi,CLICS,bbl,
Batuley,CLICS,bay,missing
Bauro (1),CLICS,bxa,missing
Ben_Tey,CLICS,dbt,
Bezhta,CLICS,kap,
Biak,CLICS,bhw,
Bima,CLICS,bhp,
Blablanga,CLICS,blp,
Blagar,CLICS,beu,missing
Bonerate,CLICS,bna,missing
Bora,CLICS,boa,
Botlikh,CLICS,bph,
Budukh,CLICS,bdk,
Buma,CLICS,tkw,
"Bunak, Bobonaro",CLICS,bfn,
Bunoge,CLICS,dgb,missing
Burmese (Spoken Rangoon),CLICS,mya,
Buru,CLICS,mhs,
Burushaski,CLICS,bsk,
Buryat,CLICS,bua,
Busoa,CLICS,bup,missing
Carapana,CLICS,cbc,
Carijona,CLICS,cbd,
Catío,CLICS,cto,
"Central Lembata, Kalikasa",CLICS,lvu,missing
Central Siberian Yupik,CLICS,ess,
Ceq Wong,CLICS,cwg,missing
Chadong,CLICS,cdy,missing
Chamalal,CLICS,cji,
Chang,CLICS,nbc,
Cha'palaachi,CLICS,cbi,
Chechen,CLICS,che,
Chepang,CLICS,cdm,
Chimila,CLICS,cbg,
Chinbon,CLICS,csh,
Chukchi,CLICS,ckt,
Chuvash,CLICS,chv,
"Cia-Cia, Masiri",CLICS,cia,missing
Cubeo,CLICS,cub,
Cuiba,CLICS,cui,
Curripaco,CLICS,kpc,
Daai,CLICS,dao,
Dadu'a,CLICS,ilu,missing
Darang [Taraon],CLICS,mhu,
Dargwa,CLICS,dar,
Deing,CLICS,twe,
Dela,CLICS,row,missing
Desano,CLICS,des,
Dhadhaje,CLICS,bgt,
Dhao,CLICS,nfa,missing
Dimasa,CLICS,dis,
Dí̵mi̵na,CLICS,mbp,
Dobel,CLICS,kvo,
Dori'o,CLICS,dor,missing
Embera Chamí,CLICS,cmi,
Embera Darién,CLICS,emp,
Embera Tadó,CLICS,NA,exclude
Ende,CLICS,end,missing
Epena Basurudó,CLICS,sja,
Epena Saija,CLICS,sja,exclude
Ergong (Danba),CLICS,ero,missing
Ersu,CLICS,ers,missing
Erzya,CLICS,myv,
Evenki,CLICS,evn,
Faghani,CLICS,faf,missing
Fataleka,CLICS,far,missing
Fataluku,CLICS,ddg,missing
Fauro,CLICS,NA,exclude
Forest Enets,CLICS,enf,
Fulfulde,CLICS,ffm,
Funai Helong,CLICS,heg,missing
Galician-std,CLICS,glg,
Galolen,CLICS,gal,missing
Gawwada,CLICS,gwd,
Geser-Gorom,CLICS,ges,missing
Ghaimuta,CLICS,lgr,missing
Ghanongga,CLICS,ghn,missing
Ghari,CLICS,gri,missing
Ghone,CLICS,NA,exclude
Ghove,CLICS,blp,
Godoberi,CLICS,gdo,
Guahibo,CLICS,guh,
Guambiano,CLICS,gum,
Guayabero,CLICS,guo,
Guiqiong,CLICS,gqi,
Gurindji,CLICS,gue,
Gurung,CLICS,ggn; gvr,
Hani,CLICS,hni,
Hatam,CLICS,had,
Haununu,CLICS,NA,exclude
"Hawu, Seba",CLICS,hvn,
Hill Mari,CLICS,mrj,
Hindi-std,CLICS,hin,
Hinuq,CLICS,gin,
Hoava,CLICS,hoa,
Hokkaido Ainu,CLICS,ain,
Hunzib,CLICS,huz,
Hup,CLICS,jup,
Idu,CLICS,clk,
Ika,CLICS,arh,
"Ile Mandiri Lamaholot, Lewoingu",CLICS,slp,
Imbabura Quechua,CLICS,que,
Inari Sami,CLICS,smn,
Inga,CLICS,inb,
Ingush,CLICS,inh,
Iraqw,CLICS,irk,
Irarutu,CLICS,irh,
Itelmen,CLICS,itl,
Jamsay,CLICS,djm,
Japanese,CLICS,jpn,
Jenaama,CLICS,bze,missing
Jingpho,CLICS,kac,
Jinsha Dai,CLICS,tiz,missing
Jinuo,CLICS,jiu,
Jitnu,CLICS,mbn,
Judeo-Tat,CLICS,jdt,missing
"Kabola, Monbang",CLICS,klz,missing
"Kaburi, Benawa",CLICS,uka,missing
Kaera,CLICS,jka,missing
Kahe.unn,CLICS,hka,missing
Kahua,CLICS,agw,missing
Kaike,CLICS,kzq,
Kaimbulawa,CLICS,zka,missing
Kais,CLICS,kzm,missing
Kaisabu,CLICS,NA,exclude
Kakua,CLICS,cbv,
Kalaallisut,CLICS,kal,
Kalamang,CLICS,kgv,missing
Kalao,CLICS,kly,missing
Kali'na,CLICS,car,
Kalmyk,CLICS,xal,
Kamang,CLICS,woi,
Kaman [Miju],CLICS,mxj,
Kamaru 2,CLICS,kgx,missing
Kamayurá,CLICS,kay,
Kambera,CLICS,xbr,
Kambowa,CLICS,NA,exclude
Kamsá,CLICS,kbh,
Kannada,CLICS,kan,
Karata,CLICS,kpt,
Kashinawá,CLICS,cbs,
Katazi,CLICS,NA,exclude
"Kedang, Leubatang",CLICS,ksx,
"Kemak, Kailaku",CLICS,kem,missing
"Kemberano, Kalitami",CLICS,bzp,
Keni.unn,CLICS,vun,missing
"Keo, Udiworowatu",CLICS,xxk,
Ket,CLICS,ket,
Khaling,CLICS,klr,
Khalkha Mongolian,CLICS,khk,
Kham,CLICS,kgj; kif; kip; kjl,
Khasi,CLICS,kha,
Khinalug,CLICS,kjj,
Khumi,CLICS,cnk,
Khwarshi (Khwarshi dialect),CLICS,khv,
Kia,CLICS,kji,
Kibosho.unn,CLICS,NA,exclude
Kildin Saami,CLICS,sjd,exclude
Kildin Sami,CLICS,sjd,
Kilokaka,CLICS,jaj,
Kimochi.unn,CLICS,jmc; old,
"Kioko, Bonegunu",CLICS,ues,missing
Kiraman,CLICS,NA,exclude
Kiseri.unn,CLICS,NA,exclude
Klamu,CLICS,NA,exclude
Klon,CLICS,kyo,
Kmagha,CLICS,NA,exclude
Kogui,CLICS,kog,
"Kokoda, Negeri Besar",CLICS,xod,missing
Kokota,CLICS,kkk,
Komi-Permyak,CLICS,koi,
Komi-Zyrian,CLICS,kpv,
Komodo,CLICS,kvh,missing
Konda,CLICS,knd,missing
Konyak,CLICS,nbe,missing
Korean,CLICS,kor,
Koreguaje,CLICS,coe,
Kotos Amarasi,CLICS,aaz,
Kryz,CLICS,kry,
Kui,CLICS,NA,exclude
Kui,CLICS,kvd,
Kuikúro-Kalapálo,CLICS,kui,
"Kula, Lantoka",CLICS,tpg,
Kulisusu,CLICS,vkl,missing
Kumbewaha,CLICS,xks,missing
Kumyk,CLICS,kum,
Kusaghe,CLICS,ksg,missing
Kwai,CLICS,NA,exclude
Kwaio,CLICS,kwd,
Kwara'ae,CLICS,kwf,missing
Lahu (Black),CLICS,lhu,
Laiyolo,CLICS,lji,missing
Lak,CLICS,lbe,
Lamboya,CLICS,lmy,missing
Langalanga,CLICS,lgl,missing
Lasalimu,CLICS,llm,missing
Latin-std,CLICS,lat,
Lau North,CLICS,llu,
Lavukaleve,CLICS,lvk,
Laz,CLICS,lzz,
Leleghia,CLICS,mrn,
Lema.unn,CLICS,NA,exclude
Lengo,CLICS,lgr,
Lezgian,CLICS,lez,
Lezgi (Mikrakh dialect),CLICS,lez,exclude
Liangmai,CLICS,njn,
Lio,CLICS,ljl,missing
Lisu,CLICS,lis,
Livonian,CLICS,liv,
Lokuru,CLICS,tqu,
Lole,CLICS,bpz; dnk; llg; rgu; twu; txg,
Lömaumbi,CLICS,NA,exclude
Lotha,CLICS,njh,
Lower Sorbian,CLICS,dsb,
Lule Sami,CLICS,smj,
Lungga,CLICS,lga,
Lushai,CLICS,lus,
Lwepe,CLICS,ntu,
Macuna,CLICS,myy,
Magar,CLICS,mgp,
Makasae,CLICS,mkz,
Malagasy,CLICS,mlg,
Malagheti,CLICS,tlr,missing
Malango,CLICS,mln,missing
Malayalam,CLICS,mal,
Malo,CLICS,ntu,
Mamba.unn,CLICS,NA,exclude
Mami,CLICS,NA,exclude
Manange,CLICS,nmm,
Manchu,CLICS,mnc,
Mandarin,CLICS,cmn,
Mandarin Chinese,CLICS,cmn,
Manggarai,CLICS,mqy,
Manipuri,CLICS,mni,
Mao,CLICS,nbi,
Maonan,CLICS,mmd,missing
Maram,CLICS,nma,
Marau,CLICS,NA,exclude
Maring,CLICS,mbw,
Marovo,CLICS,mvo,missing
Maru [Langsu],CLICS,mhx,
Matu,CLICS,hlt,missing
Maybrat,CLICS,ayz,
Mbaelelea,CLICS,bvc,missing
Mbaengguu,CLICS,bvd,missing
Mbambatana,CLICS,baa,
Mbaniata,CLICS,tqu,
Mbareke,CLICS,NA,exclude
Mbilua,CLICS,blb,
Mbirao,CLICS,brr,missing
Meadow Mari,CLICS,mhr,
Megrelian,CLICS,xmf,
Meyah,CLICS,mej,
Mikir,CLICS,mjw,
Miraña,CLICS,boa,
Modern Hebrew,CLICS,heb,
Moksha,CLICS,mdf,
Moli,CLICS,vrs,missing
Mombo,CLICS,dmb,missing
Mono,CLICS,mte,
Moskona,CLICS,mtj,
Mpur,CLICS,akc,
Mugim,CLICS,NA,exclude
Muinane,CLICS,bmr,
Mulam,CLICS,mlm,
Muna,CLICS,mnb,
Muya [Minyak],CLICS,mvm,missing
"Nage, East",CLICS,nxe,missing
Najamba,CLICS,dbu,
Namuyi,CLICS,nmy,missing
Nanai,CLICS,gld,
Nanga,CLICS,nzz,
Nanggu,CLICS,ngr,
Naueti,CLICS,nxa,missing
Naxi,CLICS,nxq,
Ndovele,CLICS,blb,
Nduke,CLICS,nke,missing
Nedebang,CLICS,nec,missing
Nembao,CLICS,utp,missing
Newar,CLICS,new,
Ngadha,CLICS,nxg,
Nganasan,CLICS,nio,
"Nga'o, Oja",CLICS,NA,exclude
Nggae,CLICS,gri,missing
Nggela,CLICS,nlg,
Nggeri,CLICS,NA,exclude
Nginia,CLICS,NA,exclude
Ngmüün,CLICS,mwq,
Nogai,CLICS,nog,
North Azerbaijani,CLICS,NA,exclude
Northern Khanty,CLICS,kca,
Northern Kurdish,CLICS,NA,exclude
Northern Mansi,CLICS,mns,
Northern Pashto,CLICS,pbu,
Northern Sami,CLICS,sme,
Northern Selkup,CLICS,sel,
Northern Uzbek,CLICS,NA,exclude
Northern Yukaghir,CLICS,ykg,
North Karelian,CLICS,krl,
Nosu,CLICS,iii,
Nruanghmei,CLICS,nbu,
Nukak,CLICS,mbr,
Nusu,CLICS,nuf,
Nyhmoye,CLICS,NA,exclude
Ocaina,CLICS,oca,
Old Georgian,CLICS,NA,exclude
Olonets Karelian,CLICS,NA,exclude
Ontong Java,CLICS,ojv,
Oroha,CLICS,ora,missing
Oroqen,CLICS,orh,missing
Ossetian,CLICS,oss,exclude
Ossetic,CLICS,oss,
Otomi,CLICS,ote,
"Painara, Lerek",CLICS,NA,exclude
"Pancana, Lawele",CLICS,pnp,missing
Papuna,CLICS,abz,
Patipi,CLICS,oni,missing
Penange,CLICS,NA,exclude
Perge_Tegu,CLICS,NA,exclude
Phom,CLICS,nph,missing
Pileni,CLICS,piv,
Piratapuyo,CLICS,pir,
Playero,CLICS,gob,
Poleo,CLICS,tlr,missing
Poro,CLICS,NA,exclude
proto-AP,CLICS,NA,exclude
proto-MP-ACD,CLICS,NA,exclude
Puiron,CLICS,nbu,
Pumi (Taoba),CLICS,pmi,
Puragi,CLICS,pru,missing
Q'eqchi',CLICS,kek,
Qiang (Mawo),CLICS,cng,
Queyu (Yajiang) [Zhaba],CLICS,qvy,missing
Rawo,CLICS,rwa,
Reefs,CLICS,ntu,
Rembong,CLICS,reb,missing
Rengma,CLICS,nre,missing
Rennell,CLICS,mnv,
Resígaro,CLICS,rgr,
"Reta, Pura",CLICS,ret,missing
rGyalrong,CLICS,jya,
Rihu'a,CLICS,NA,exclude
Rikou,CLICS,rgu,missing
Ririo,CLICS,rri,missing
Ro'is Amarasi,CLICS,NA,exclude
Romagnol-std,CLICS,rgn,missing
Rongga,CLICS,ror,missing
Roviana,CLICS,rug,
Rutul,CLICS,rut,
Sa'a (1),CLICS,apb,
Sakha,CLICS,sah,
Sáliba,CLICS,slc,
Samasodu,CLICS,NA,exclude
Sangtam,CLICS,nsa,missing
Santa Ana,CLICS,stn,missing
Santa Catalina,CLICS,NA,exclude
Sar,CLICS,NA,exclude
Saramaccan,CLICS,srm,
Savosavo,CLICS,svs,
Sawai,CLICS,szw,
Sawila,CLICS,tpg; swt,
Secoya,CLICS,sey,
Selice Romani,CLICS,rmn,exclude
Sema,CLICS,nsm,
Sengga,CLICS,NA,exclude
Seychelles Creole,CLICS,crs,
Siha.unn,CLICS,NA,exclude
Sikaiana,CLICS,NA,exclude
"Sika, Tana Ai",CLICS,ski,
Simbo,CLICS,sbb,missing
Siriano,CLICS,sri,
Skolt Sami,CLICS,sms,
Slovene,CLICS,slv,
So'a,CLICS,ssq,missing
Songhai_Kiini,CLICS,khq,
Songhai_Senni,CLICS,hmb,
Sougb,CLICS,mnx,
Southern Kam,CLICS,doc; kmc,
Southern Sami,CLICS,sma,
Southern Yukaghir,CLICS,yux,
