Language,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
Marovo,CLICS,mvo,,,
Maru [Langsu],CLICS,mhx,,,
Matu,CLICS,hlt,,,
Maybrat,CLICS,ayz,,,ayz
Mbaelelea,CLICS,bvc,,,
Mbaengguu,CLICS,bvd,,,
Mbambatana,CLICS,baa,,,
Mbilua,CLICS,blb,,,blb
Mbirao,CLICS,brr,,,
Megrelian,CLICS,xmf,,,xmf
Meyah,CLICS,mej,,,
Mikir,CLICS,mjw,,,mjw
Moksha,CLICS,mdf,,,
Moli,CLICS,vrs,,,
Mombo,CLICS,dmb,,,
Mono,CLICS,mte,,,
Moskona,CLICS,mtj,,,
Mpur,CLICS,akc,,,
Muinane,CLICS,bmr,,,bmr
Mulam,CLICS,mlm,,,
Muna,CLICS,mnb,,,mnb
Muya [Minyak],CLICS,mvm,,,
"Nage, East",CLICS,nxe,,,
Najamba,CLICS,dbu,,,
Namuyi,CLICS,nmy,,,
Nanai,CLICS,gld,,,gld
Nanga,CLICS,nzz,,,
Nanggu,CLICS,ngr,,,
Naueti,CLICS,nxa,,,
Naxi,CLICS,nxq,,,nxq
Nduke,CLICS,nke,,,
Nedebang,CLICS,nec,,,
Nembao,CLICS,utp,,,
Newar,CLICS,new,,,new
Ngadha,CLICS,nxg,,,nxg
Nganasan,CLICS,nio,,,nio
Nggela,CLICS,nlg,,,
Ngmüün,CLICS,mwq,,,
Nogai,CLICS,nog,,,
Northern Pashto,CLICS,pbu,,,
Northern Yukaghir,CLICS,ykg,,,ykg
North Karelian,CLICS,krl,,,
Nosu,CLICS,iii,,,
Nukak,CLICS,mbr,,,mbr
Nusu,CLICS,nuf,,,
Ocaina,CLICS,oca,,,oca
Ontong Java,CLICS,ojv,,,
Oroha,CLICS,ora,,,
Oroqen,CLICS,orh,,,
Ossetic,CLICS,oss,,,oss
Otomi,CLICS,ote,,,ote
"Pancana, Lawele",CLICS,pnp,,,
Patipi,CLICS,oni,,,
Phom,CLICS,nph,,,
Pileni,CLICS,piv,,,
Piratapuyo,CLICS,pir,,,pir
Playero,CLICS,gob,,,
Poleo,CLICS,tlr,,,
Puiron,CLICS,nbu,,,
Pumi (Taoba),CLICS,pmi,,,
Puragi,CLICS,pru,,,
Q'eqchi',CLICS,kek,,,kek
Qiang (Mawo),CLICS,cng,,,
Queyu (Yajiang) [Zhaba],CLICS,qvy,,,
Rawo,CLICS,rwa,,,
Reefs,CLICS,ntu,,,ntu
Rembong,CLICS,reb,,,
Rengma,CLICS,nre,,,
Rennell,CLICS,mnv,,,
Resígaro,CLICS,rgr,,,rgr
"Reta, Pura",CLICS,ret,,,
rGyalrong,CLICS,jya,,,jya
Rikou,CLICS,rgu,,,
Ririo,CLICS,rri,,,
Romagnol-std,CLICS,rgn,,,
Rongga,CLICS,ror,,,
Roviana,CLICS,rug,,,
Rutul,CLICS,rut,,,rut
Sa'a (1),CLICS,apb,,,
Sakha,CLICS,sah,,,sah
Sáliba,CLICS,slc,,,slc
Sangtam,CLICS,nsa,,,
Santa Ana,CLICS,stn,,,
Saramaccan,CLICS,srm,,,
Savosavo,CLICS,svs,,,svs
Sawai,CLICS,szw,,,
Sawila,CLICS,tpg; swt,,,
Secoya,CLICS,sey,,,sey
Sema,CLICS,nsm,,,nsm
Seychelles Creole,CLICS,crs,,,
"Sika, Tana Ai",CLICS,ski,,,
Simbo,CLICS,sbb,,,
Siriano,CLICS,sri,,,sri
Skolt Sami,CLICS,sms,,,
So'a,CLICS,ssq,,,
Songhai_Kiini,CLICS,khq,,,khq
Songhai_Senni,CLICS,hmb,,,
Sougb,CLICS,mnx,,,
Southern Kam,CLICS,doc; kmc,,,
Southern Sami,CLICS,sma,,,sma
Southern Yukaghir,CLICS,yux,,,yux
"South Mambae, Letefoho",CLICS,mgm,,,
Sulung [Puroik],CLICS,suv,,,
Sunwar,CLICS,suz,,,
Tabasaran (Southern dialect),CLICS,tab,,,
Takia,CLICS,tbc,,,
Tamang (Sahu),CLICS,taj,,,taj
Tangkhul,CLICS,nmf,,,nmf
Tangsa (Yogli),CLICS,nst,,,nst
Tanimuca,CLICS,tnc,,,tnc
Tariano,CLICS,tae,,,tae
Tarifiyt Berber,CLICS,rif,,,rif
Tataba,CLICS,mrn,,,
Tatar,CLICS,tat,,,
Tatuyo,CLICS,tav,,,tav
Tebul_Ure,CLICS,dtu,,,
Teiwa,CLICS,twe,,,
"Tetun, Suai",CLICS,tdt,,,
Thakali,CLICS,ths,,,
Tii,CLICS,txq,,,
Tikopia,CLICS,tkp,,,
Tindi,CLICS,tin,,,
Tiranige_Diga,CLICS,tde,,,
To'ambaita,CLICS,mlu,,,
Togo_Kan,CLICS,dtm,,,
Tommo_So,CLICS,dto,,,
Totoró,CLICS,ttk,,,
Trung [Dulong],CLICS,duu,,,
Tsakhur,CLICS,tkr,,,
Tsangla (Motuo),CLICS,tsj,,,tsj
Tsez,CLICS,ddo,,,
Tshona (Mama),CLICS,twm,,,
Tsova-Tush,CLICS,bbl,,,bbl
Tucano,CLICS,tuo,,,tuo
Tujia,CLICS,tji; tjs,,,
"Tukang Besi, Binongko",CLICS,bhq,,,
Tunebo Central,CLICS,tuf,,,tuf
Udi,CLICS,udi,,,
Ughele,CLICS,uge,,,
Uruangnirin,CLICS,urn,,,
Vaghua,CLICS,tva,,,
Vangunu,CLICS,mpr,,,
Vano,CLICS,vnk,,,
Veps,CLICS,vep,,,
Waerana,CLICS,wrx,,,
Waima'a,CLICS,wmh,,,
Wanano,CLICS,gvc,,,gvc
Welaun,CLICS,wlh,,,
Wersing,CLICS,kvw,,,
Western Pantar,CLICS,lev,,,
Wetan,CLICS,lex,,,
White Hmong,CLICS,mww,,,
Witoto Mi̵ni̵ca,CLICS,hto,,,hto
Witoto Murui,CLICS,huu,,,huu
Witoto Ni̵pode,CLICS,hux,,,
Wolio,CLICS,wlo,,,
Wotu,CLICS,wtw,,,
Wounaan,CLICS,noa,,,noa
Xokleng,CLICS,xok,,,xok
Xumi,CLICS,sxg,,,
Yanda_Dom,CLICS,dym,,,
Yaqui,CLICS,yaq,,,yaq
Yi (Mile),CLICS,yix,,,
Yucuna,CLICS,ycn,,,ycn
Yukpa,CLICS,yup,,,yup
Yurutí,CLICS,yui,,,yui
Zeme,CLICS,nzm,,,
Zinacantán Tzotzil,CLICS,tzo,,,tzo
