Word,MainYear,EtymonYear,EtymonYearProcessed,Etymology,Origin,Borrowed,ObscureOrigin,Imitative,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm
spiky,1578,1393,1393,spike,Latin,yes,no,no,NA,NA,
spongy,1539,c1000,1000,sponge,"Greek through Latin, OE",yes,no,no,NA,NA,
squeezable,1813,1601,1601,squeeze,perhaps strengthened form of 'quease',no,no,no,NA,NA,
squishy,1847,1647,1647,squish,imitative,no,no,yes,NA,NA,
steel,c725,,725,,Germanic,no,no,no,NA,NA,
suede,1859,,1859,,French borrowing,yes,no,no,NA,NA,
textured,1888,1447,1447,texture,Latin (through French?),yes,no,no,NA,NA,
tin,c897,,897,,Germanic,no,no,no,NA,NA,
varnished,1553,1341-1342,1341,varnish,French borrowing,yes,no,no,NA,NA,
furry,1598,13../?a1366,1300,fur,French borrowing,yes,no,no,pa-,pa-,fur
peeling,1745,a1150,1150,pill,"variant of 'peel', probably Germanic",no,no,no,pag-,pag-,
painted,a1382,c1275,1275,paint,French borrowing,yes,no,no,peig-,peig-,paint
powder,a1300,,1300,,French borrowing,yes,no,no,pel-,pel-1,
filmy,1661,c1000,1000,film,Germanic,no,no,no,pel,pel-4,
felt,c1000,,1000,,Germanic,no,no,no,pel-,pel-6,
polished,a1382,a1382,1382,polish,French borrowing,yes,no,no,pel-,pel-6,polish
plastic,1598,,1598,,Latin,yes,no,no,pele-,pele-,
feathered,c1150,OE,900,feather,Germanic,no,no,no,pet-,pet-,
pointy,1644,?a1200/c1230,1200,point,complex,no,no,no,peuk-,peuk-,point
plush,1590,,1590,,French borrowing,yes,no,no,pilo-,pilo-,
flat,1296,,1296,,Germanic,no,no,no,plat-,plat-,
fuzzy,1613,1601,1601,fuzz,unknown origin,no,yes,no,pu-,pu-,
ribbed,a1425/?1523,eOE/OE/?a1200,650,rib,Germanic,no,no,no,rebh-,rebh-,rib
corroded,1604,c1400,1400,corrode,Latin through French,yes,no,no,red-,red-,
rippled,1724,c1350,1350,ripple,Germanic,no,no,no,rei-,rei-,ripple
