"*bʰḗr-men- ; [nsg.] *bʰḗr-mn̥","‘burden’ [nt.] : Ind | *bʰer"
"*bʰer-tér- / *bʰer-tr- ; [nsg.] *bʰer-tḗr","‘carrier’ [m. | hyst.] : Ind | *bʰer"
"*bʰer-tr-ih₂","‘carrier (f.), bearer, mother’ [f.] : IIr | *bʰer"
"*bʰér-tor- / *bʰer-tr-","‘bearer, caretaker’ [m. | ? amph.] : Ind It | *bʰer"
"**bʰér-ti- / **bʰr̥-téi-","‘support, bearing; offering; burden’ [f. | prot.] : IIr It Celt Gm Arm | *bʰer"
"*•bʰr̥-t-","‘bringing, providing’ [adj.] : Ind | *bʰer"
"*bʰér-isth₂-o-","‘most supportive, most provident’ [adj. | acro.] : Iran Gk Gm | *bʰer"
"*bʰór-o-","‘burden, fee, contribution, collection’ [m. | acro.] : IIr Gk | *bʰer"
"*bʰor-ó-","‘bringing, providing’ [adj. | meso.] : Arm | *bʰer"
"*bʰor-eh₂","‘burden, bier’ [f.] : Gk Alb | *bʰer"
"*bʰor-mo-","‘basket, womb’ [m. | meso.] : Gk Gm | *bʰer"
"*bʰr̥-tó-","‘brought; carried off, stolen’ [adj. | meso.] : IIr Celt | *bʰer"
"*bʰr̥g̑ʰ-","‘tall, high, long, loud; ↪︎mountain, hill, city’ [adj.] : Iran Celt Gm | *bʰerg̑ʰ"
"*bʰr̥g̑ʰ-i-","‘high, tall’ [adj.] : Anat Iran | *bʰerg̑ʰ"
"*bʰérg̑ʰ-u- / *bʰr̥g̑ʰ-eú-","‘high, tall, large’ [adj. | prot.] : Anat Arm | *bʰerg̑ʰ"
"*bʰérg̑ʰ-os / *bʰérg̑ʰ-es-","‘height, mountain’ [nt. | acro.] : Iran Gm Arm Sl | *bʰerg̑ʰ"
"*bʰérg̑ʰ-isth₂-o-","‘highest, very tall, powerful or loud’ [adj. | acro.] : IIr | *bʰerg̑ʰ"
"*bʰr̥g̑ʰ-ónt- / *bʰr̥g̑ʰ-n̥t-","‘high, tall, loud, wide, thick’ [adj. | hyst.] : IIr | *bʰerg̑ʰ"
"**bʰr̥g̑ʰ-ónt-ih₂ / **bʰr̥g̑ʰ-n̥t-iéh₂-","‘high, tall’ [adj.f. | prot.] : IIr Celt | *bʰerg̑ʰ"
"*bʰés-mn̥ / *bʰₑs-mén-","‘ashes’ [nt. | prot.] : Ind | *bʰes"
"*bʰés-mon- ; [nsg.] *bʰés-mō","‘broom; ashes’ [sb.] : Ind Gm | *bʰes"
"?*bʰos-ó-","‘bare, exposed’ [adj. | meso.] : Gm Arm BSl | *bʰes"
"*bʰudʰ-","‘awakening’ [f.] : Ind | *bʰeudʰ"
"*bʰudʰ-o-","‘wise, clever’ [adj.] : Ind | *bʰeudʰ"
"↷ *bʰeudʰ-ter-","‘learner, adept; guard’ [↷ m.] : IIr | *bʰeudʰ"
"**bʰéudʰ-ti- / *bʰudʰ-téi-","‘insight’ [f. | prot.] : IIr Gk | *bʰeudʰ"
"*bʰéudʰ-os / *bʰéudʰ-es-","‘consciousness, awareness’ [nt. | acro.] : Iran | *bʰeudʰ"
"*bʰoudʰ-ó-","‘vigilance, wakefulness, awareness; incense, odor’ [m.] : IIr Celt | *bʰeudʰ"
"*bʰudʰ-ró-","‘eager’ [adj. | meso.] : Iran BSl | *bʰeudʰ"
"*bʰréh₂⸰ter- / *bʰréh₂tr- ; [nsg.] *bʰréh₂tēr","‘brother’ [m. | acro.] : IIr Gk It Celt Gm Arm BSl T + | *bʰreh₂⁃ter"
"↷*bʰreh₂⸰tr-u-i̯o-","‘brother’s son; rival’ [↷m.] : IIr | *bʰreh₂⁃ter"
"*bʰreh₂⸰tr-ó-","‘brotherhood’ [m.] : Ind | *bʰreh₂⁃ter"
"*bʰreh₂⸰tr-io-","‘belonging to a brother’ [adj.] : IIr Gk It Sl | *bʰreh₂⁃ter"
"*ₑbʰs-o-","‘relish, minced meat (?)’ [sb.] : Gk | *bʰes"
"*bʰs-oh₂-mó-","‘hunk, chunk’ [m. | meso.] : Gk | *bʰes"
"*bʰs-óh₂-reh₂","‘mange, scabies’ [f. | acro.] : Gk | *bʰes"
"↷ *bʰs-oh₂-ró-","‘mangy’ [↷adj. | meso.] : Gk | *bʰes"
"*bʰs-éh₂-reh₂","‘millet’ [f. | acro.] : Balt | *bʰes"
